date,HDFCB.IS.EQUITY,SBER.RM.EQUITY,ITUB4.BS.EQUITY,HDFC.IS.EQUITY,KMB.IS.EQUITY,BBDC3.BS.EQUITY,BBDC4.BS.EQUITY,ICICIBC.IS.EQUITY,BAF.IS.EQUITY,QNBFB.TI.EQUITY,SBIN.IS.EQUITY,B3SA3.BS.EQUITY,SANB11.BS.EQUITY,BBAS3.BS.EQUITY,ITSA4.BS.EQUITY,AXSB.IS.EQUITY,ELEKTRA..MF.Equity,BJFIN.IS.EQUITY,FSR.SJ.EQUITY,BPAC11.BS.EQUITY,GFNORTEO.MF.Equity,BBSE3.BS.EQUITY,SBK.SJ.EQUITY,SLM.SJ.EQUITY,VTBR.RM.EQUITY
HDFCB.IS.EQUITY,0.04213796265663,0,0,0.167332886093914,0,0,0,0.272818720391773,0.067483933580755,0.187156045981221,0,-0.015422407310672,0,0,0,0,0,0,0,-0.037699163239504,0,0,0,0,0
SBER.RM.EQUITY,0,0.078298400650555,0,0,0,0,0,0,0.059946100990233,0,0,0,0.028330873174893,0,0,0,0,0,0.203135981186662,0,-6.94E-04,0,0,0.129574112770482,0.212724903625932
ITUB4.BS.EQUITY,0,0,0.089178267339185,0,0,0.097597381118324,0,0,0,0,0,0,0.332554538503269,0,0,0,0,0,-0.010377050589781,0,0,0,0,0,0
HDFC.IS.EQUITY,0.576391407482174,0,0,0.025588293358888,0.038199504199823,0.057779414898888,0,0,0.049193374993425,0.069807288900804,0,0,0,0,0,0.220930182003836,0,0,0,0,-0.085721003415998,0,0,-0.006856352553291,0
KMB.IS.EQUITY,0.252721561999924,0,0,0.07063964851922,0.046172591337257,0,0,0,0.176191212139303,-0.160746185333412,0,0,0.076760846804407,0,0,0,0,0,0,0,0,0,0,0,0
BBDC3.BS.EQUITY,0,0,0,0,0,0.0299330307226,0.505232213084716,0,0,0,0,0,0,0.412120117715744,0,0,0,-0.013940026838305,0.0085240695593,0,0,0,0,-0.053044542239893,0.110300526773291
BBDC4.BS.EQUITY,0,0,0,0,0,0.87805280302766,0.097802068634749,0,0,0,0,0,0,-6.94E-04,0,0,0,0,0,0,0,0,0,0,0
ICICIBC.IS.EQUITY,0,0,0,0.160760849296775,0.075814063319954,0,0,0.076304220386247,0.068484419738519,0,0,0,0,0,0,0.53622584805823,0,0,0,0,0,0,0.225914442910189,0,0
BAF.IS.EQUITY,0,0,0,0.136351803632982,0,0,0,0.394315061993017,0.02954404993976,-0.183992495630955,0.059523564301479,0,0,1.39E-03,0,0,0,0.47097768733749,0,0.13617652516709,0,0,0,0,0
QNBFB.TI.EQUITY,0.199813369863508,0,0,0,0.083746169206102,0,0.220918582685153,-3.47E-04,0,0.019326189222722,0,0.289292789106711,0,-0.350379785195895,0,0.059381204147734,0,-0.049516196336522,0.107508533718167,0,-0.221121206570851,0,0,0,0
SBIN.IS.EQUITY,0.024516332217886,0,-0.125323805131151,0,0,0,0,0.084059627704507,0.442385405780953,0,0.054463782821295,0,0,0,0,0,0,0,0,0,0.075052646494449,0,0,0,0
B3SA3.BS.EQUITY,0,0,-0.053039669881271,0,0,0.291706750162838,0,0,0,0,0,0.041792741533897,0,0.137355811534749,0,0,0,0,0,0,0,0.462984737816031,0.026586046571922,0,0
SANB11.BS.EQUITY,0,0,0,0,0,0.043707930507392,0.454855232179264,0,0,0,0,0,0.05666374706179,0.203882816028318,0,0,0,0,0,0,0.027422027089625,0.179062765059348,0,0,0
BBAS3.BS.EQUITY,0,0,0,0,0,0.798029924849371,0,0,0,0,0,0.175462297625157,0.147386836169237,0.052334683761453,0,0,0,0,0,0,0,0,0,-0.050846299952643,0
ITSA4.BS.EQUITY,0,0,0.561560979430599,0,0,0,0.136481278838715,0,0,0,0,0,0,0,0.093587750819264,0,0,0,0,0.158626519117336,0,0,0,0,0
AXSB.IS.EQUITY,-0.323494441416621,0,0,0,0.034838179835512,0,0,0.43202843120994,0.504570285317335,0,0,0,-0.004986027911009,0,0,0.040118136351416,0,0,0,0.084061052940461,-0.079495163007809,0,-0.191570174848069,0,0
ELEKTRA..MF.Equity,0,0,0.071614462677709,0,0,0,0,-0.015219176120071,0,0,0,0.017811634780355,0.005586182267251,0,0,0,0.051043221856275,-0.019217151417566,0,0.008543264932019,0,0,0,-0.037377411582881,0
BJFIN.IS.EQUITY,0,0,0,0.070159023078091,0,0,0,0.153390687509057,0.431066488924115,0,0,0,0,0,0,0,0,0.065340899123635,0,0,0,0,0,0,0
FSR.SJ.EQUITY,0,0.565586647251615,0,-0.04419484128542,0,0,0,0,-0.007188178643059,0,0,0.004427850600425,0,0,0.222734051103272,0,0,0,0.026665926202215,0,0.128977125466756,-0.324897525510719,0.401711230252652,0.109318337155119,0
BPAC11.BS.EQUITY,0,0,0,0,0,0,0,0,0.129634674595858,0,0,0.142742272575885,0,0.156320017422471,0.617641700182442,0,0,0,0,0.05152331040147,0,0,0,0,0
GFNORTEO.MF.Equity,0,0.414833722375514,0,0,0,0,0,0,0,0,0,0,0.20521639114961,0,0,0,0,0,0.136323037518654,0,0.044331313498492,0,0,0.010094011357629,0
BBSE3.BS.EQUITY,0,0,0,0,0,0.08112797928037,0,0,0,0.133338651912445,0,0.003649816403967,0,0,0.100667237755412,0,0,0.296631611311679,0,0.045308286625438,0,0.032053408414205,0,0,0
SBK.SJ.EQUITY,0,0,0,0,0.20412484781885,0,0,0.279201541920566,-0.17079623872186,-0.248752927029222,-0.243341065306537,0,0,0,0,0,0,0,0.470858479643128,0.272282671091159,-0.214193888206914,0,0.02242660406818,0.162752576012961,-0.018165427647373
SLM.SJ.EQUITY,0.035242743988143,0.337112737721785,0,0,0,-0.078012752988289,-0.050763981436925,0,0,0,0,0,0,0,0,0.029355978634614,0,0,0.269674919005765,0,0.350413238935114,0,0.212673165482191,0.036855862411137,0
VTBR.RM.EQUITY,0,0.300275075325071,0,0.073512389540929,0,0.046931335817702,0,0,0,0,0,0,0,0,0,0,0,0,0.277802025453018,0,0,-0.05618208111545,0,0,0.044793580037197
