date,HDFCB.IS.EQUITY,SBER.RM.EQUITY,ITUB4.BS.EQUITY,HDFC.IS.EQUITY,KMB.IS.EQUITY,BBDC3.BS.EQUITY,BBDC4.BS.EQUITY,ICICIBC.IS.EQUITY,BAF.IS.EQUITY,QNBFB.TI.EQUITY,SBIN.IS.EQUITY,B3SA3.BS.EQUITY,SANB11.BS.EQUITY,BBAS3.BS.EQUITY,AXSB.IS.EQUITY,ITSA4.BS.EQUITY,ELEKTRA..MF.Equity,BJFIN.IS.EQUITY,FSR.SJ.EQUITY,BPAC11.BS.EQUITY,BBSE3.BS.EQUITY,GFNORTEO.MF.Equity,SBK.SJ.EQUITY,SLM.SJ.EQUITY,VTBR.RM.EQUITY
HDFCB.IS.EQUITY,0.117343688658972,0,0,0.120799547360564,0,0,0,0.250935837378332,0.0819445760035089,0,0.00466454979615105,0,0,-0.0477077832374178,0,0,0,0,0.0471310976431572,0,0,0,0,0,0
SBER.RM.EQUITY,0,0.171444817262143,0,0,0,0,0,0,0.0697681935882098,0,0,0,0,0.0153253270458775,0,0,0,0,0.25919502673998,0,0,0.0665700252522533,0,0.0378117564061451,0
ITUB4.BS.EQUITY,0,0,0.154622559296969,0,0,0,0.0828367756063349,0,0,0,0,0,0.479404236755631,0,0,0.251968102656383,0,0,0,0,0,0,0,0,0
HDFC.IS.EQUITY,0.0338895155603182,0,0,0.0933544309310936,0,0,0,0.348734833679696,0.199802164050332,0,0.127352267613795,0,0,0,0,0,0,0,0,-0.000998210772019378,0,0,0,0,0
KMB.IS.EQUITY,0.0764119730038275,0,0,0.288701779464653,0.137871375280607,0,0,0,0.0485151467747839,0,0,0,0,0,0.043889560324439,0,0,0,0.0478039173413217,0.103473400183546,0,0.00631066543921417,0,0,0
BBDC3.BS.EQUITY,0,0,0,1.08E-06,0,0.0852776488831578,0.608634516906871,0,0,0,0,0,0,0.407074974683256,-0.01288338984103,0,0,0,0,0,0,0,0,0,0
BBDC4.BS.EQUITY,0,0,0.221287255867374,0,0,0.591066924543454,0.133203409385601,0,0,0,0,0,0.0760406767085319,0,0,0,0,0,0,0,0,0,0,0,0
ICICIBC.IS.EQUITY,0,0,0,0.000990465037662022,0.14203336940327,0,0,0.159382135810335,0.139101429757709,0,0,0,0,0,0.590577525451592,0,0,0,0,0,0,0,0.137574563530588,0,0
BAF.IS.EQUITY,0,0,0,0.308356837061075,0,0,0,0,0.111718467060969,0,0,0,0,0,0,0,0,0.779320652157551,0,0,0,0.0500571379846278,0,0,0
QNBFB.TI.EQUITY,0,0,0,0,0,0,0,0.0921023678381481,0,0.150883476317532,0,0.126512694667846,0,-0.0689768525226154,4.34E-05,0,0,-0.0806097542666016,0,0,0,-0.134274076813462,0,0,0
SBIN.IS.EQUITY,0.178826459864039,0,0,0.174148452457878,0.043820679558776,0,0,0.043178298745593,0,-0.0229123098323808,0.0973919798332082,0,0,0,0.229284155553839,0,0,0,0,0,0,0,0,0,0
B3SA3.BS.EQUITY,0,0,0,0,0,0.306145062779986,0,0,0,0,0,0.058681169970988,0,0.0249304837276528,0,0,0,0,0,0.0194336572578527,0,0,0,0,0
SANB11.BS.EQUITY,0,0,0.143809739611031,0,0,0,0,0,0,0,0,0,0.106748849914536,0.419030706478669,0,0,0,0,0,0.134240797431084,0,0,0,0,0
BBAS3.BS.EQUITY,0,0,0,0,0,0.60323710749297,0,0,0,0,0,0,0.247268329328047,0.135157130200842,0,0,0,0,0,0,0,0,0,0,0
AXSB.IS.EQUITY,0,0,0,0,0,0,0,0.656970502113605,0.0480542842414232,0,0.104020519311141,0,0,0,0.123667587912451,0,0,0,0,0,0,0,0,0,0
ITSA4.BS.EQUITY,0,0,0.561986251275346,0,0,0,0.0703266367821057,0,0,0,0,0,0,0,0,0.0275831314653129,0,0,0,0.0773993042546351,0,0,0,0,0
ELEKTRA..MF.Equity,0,0,0,0,0,0,0,-0.0584254584741024,0.0589092790363162,-0.0269779119357229,0,0,0,0,0.0261838577448516,0.0656476824456022,0.115522293512039,-0.0587352560117869,0,0,0,0,0,0,0
BJFIN.IS.EQUITY,0,0,0,0,0,0,0,0.0875614333463958,0.499382796348404,0,0,0,0,0,0,0,0,0.0824423388917478,-0.0831222904041709,0.0404751412264456,0,0,0,0,0
FSR.SJ.EQUITY,0,0,0,0,0,0,0,0.122284143450676,0,0,0,0,0,0,0,0,0,-0.105143946122622,0.0564988793499491,0,0,0.305728526829808,0.393072905463708,0,0
BPAC11.BS.EQUITY,0,0,0.48195639078267,0,0.20676370720837,0,0,0,0,0.169790553634739,0,0.266206300659422,0,0.045809817169105,0,0,0,0.229842590620457,0,0.0692476249862013,0,0,0,0,0
BBSE3.BS.EQUITY,0.0288393692255434,0,0,0,0,0.212061090481488,0,0.181390595630578,0.0260556970755038,0.106419770367409,0,0.0543871274342492,0,0,0,0,0,0,0,0.0499666424813073,0.109543614449784,0,0,0,0
GFNORTEO.MF.Equity,0,0.164183255573555,0.0860247382071251,0,0,0,0,0,0,0,0.011381789981852,0,0,0,0,0,0,0,0.183774192708839,0.126942536884987,0,0.0801545248026497,0,0.0225200860950066,0.19879748172307
SBK.SJ.EQUITY,0,0,0,0,0.0413107713478867,0,0,0.040236957237563,-0.199504431722453,0,0,0,0.200301465357682,0,0.0964273886871931,0,0,0,0.72439719405232,0,0,-0.19942185250676,0.0678546624412589,0.0649434083044065,0
SLM.SJ.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598441577590325,0,0,0.266112210698236,0.389607395061997,0.0724591141398877,0
VTBR.RM.EQUITY,0,0.238038076643789,0,0.0674544922834157,0,0.0296797233766936,0,0,0.00478597630193894,0,0,0,0,3.47E-04,0,0,0,0,0.221955539429376,0,0,0.0211938454884732,0,0,0.0842495024967902
