date,HDFCB.IS.EQUITY,SBER.RM.EQUITY,ITUB4.BS.EQUITY,HDFC.IS.EQUITY,KMB.IS.EQUITY,BBDC3.BS.EQUITY,BBDC4.BS.EQUITY,ICICIBC.IS.EQUITY,BAF.IS.EQUITY,QNBFB.TI.EQUITY,SBIN.IS.EQUITY,B3SA3.BS.EQUITY,SANB11.BS.EQUITY,BBAS3.BS.EQUITY,ITSA4.BS.EQUITY,AXSB.IS.EQUITY,ELEKTRA..MF.Equity,BJFIN.IS.EQUITY,FSR.SJ.EQUITY,BPAC11.BS.EQUITY,GFNORTEO.MF.Equity,BBSE3.BS.EQUITY,SBK.SJ.EQUITY,SLM.SJ.EQUITY,VTBR.RM.EQUITY
HDFCB.IS.EQUITY,0.292980495440466,0,0,0.0358000713487843,0,0,0,0.146171547591343,0.151502871716616,0.0274496006680933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBER.RM.EQUITY,0,0.177334332450878,0,0,0,0,0,0,0.0492390346257495,0,0,0,0,0.0265103286592932,0,0,0,0,0.0609659878014364,0,0.0907387593226759,0,0,0.131315771151008,0.298288243451479
ITUB4.BS.EQUITY,0,0,0.477000322851873,0,0,0,0.344592387520197,0,0,0,0,0,0.254411769407649,0,0,0,0,0,0,0,0,0,0,0,0
HDFC.IS.EQUITY,0,0,0,0.433100058591518,0,0,0,0.178884269178953,0.110455869725278,0,0,0,0,0,0,0.0785043959497683,0,0,0,0,0,0,0,0,0
KMB.IS.EQUITY,0,0,0,0,0.34635117638739,0,0,0.330777968393509,6.94E-04,0,0,0,0,0,0,0.0343298497530424,0,0,0,0,0,0,0,0,0
BBDC3.BS.EQUITY,0,0,0,0,0,0.293682315023415,0.528356406365798,0,0,0,0,0,0,0.350933366909598,0,0,0,0,0,0,0,0,0,0,0
BBDC4.BS.EQUITY,0,0,0.0969014163364442,0,0,0.425760238854108,0.470673327243982,0,0,0,0,0,0.250804518883564,0,0,0,0,0,0,0.033793499855187,0,0,0,0,0
ICICIBC.IS.EQUITY,0.0713049878789806,0,0,0,0,0,0,0.385295272987939,0.193110299043353,0,0.0266461073246375,0,0,0,0,0.466033111524912,0,0,0,0,0,0,0.0886472304744892,0,0
BAF.IS.EQUITY,0,0,0,0.210696436591061,0.0898634269511894,0,0,0.0113265035603703,0.214687851482616,0,0,0,0,0,0,0,0,0.556391251881884,0,0.0212768830007096,0,0,0,0,0
QNBFB.TI.EQUITY,0,0,0,0,0,0,0,0,0,0.320376919017975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBIN.IS.EQUITY,0,0,0,0.0530308267535859,0,0,0,0.241813051743394,1.73E-04,0,0.372575408704201,0,0,0,0,0.161770076165571,0,0,0,0,0,0,0,0,0
B3SA3.BS.EQUITY,0,0,0,-0.0941809611564445,0,0.121638517681405,0,0,0,0,0,0.310940149508415,0,0.329582608315485,0,0,0,0,0,0.0491746596962421,0,0,0,0,0
SANB11.BS.EQUITY,0,0,0.0183902804731917,0,0,0,0.817912883859309,0,0,0,0,0,0.370896453367468,0.0331899133344021,0,0,0,0,0,0,0,0,0,0,0
BBAS3.BS.EQUITY,0,0,0,0,0,0.488079400568345,0,0,0,0,0,0,0.209289679948891,0.497883405328801,0,0,0,0,0,0.0943266634506377,0,0,0,0,0
ITSA4.BS.EQUITY,0,0,0.426415767581489,0,0,0,0.111664827624754,0,0,0,0,0,0.0377946125362455,0,0.215609266321669,0,0,0,0,0.0916831758247315,0,0,0,0,0
AXSB.IS.EQUITY,0,0,0,0,0,0,0,0.632391106717473,0,0,0,0,0,0,0,0.103174999999987,0,0.136127854120542,0,0.0703325684103341,0,0,-0.0413757570484672,0,0
ELEKTRA..MF.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162746696581303,0,0,0,0,0,0,0,0
BJFIN.IS.EQUITY,0,0,0,0,0,0,0,0,0.534306370225529,0,0,0,0,0,0,0,0,0.239111356807186,0,0,0,0,0,0,0
FSR.SJ.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444911487596737,0,0.0200615950084214,0,0.477476852707363,0.0620344609371086,0
BPAC11.BS.EQUITY,0,0,0,0,0,0,0.225025240916402,0,0.0847202661828998,0,0,0,0,0.299685648308198,0,0,0,0,0,0.156246690776203,0,0,0,0,0
GFNORTEO.MF.Equity,0,-8.67E-05,0.288874848767684,0,0,0,0,0,0.0110350486816623,0,0,0,0,0,0,0,0,0,0.0467005440144421,0,0.22939376791773,0,0,0.290861252823314,0.2470635617987
BBSE3.BS.EQUITY,0,0,0,0,0,0,0,0,0.0468406513043973,0,0,0,0,0.12579935093289,0,0,0,0,0,0.168469180928868,0,0.104989625149209,0,0,0
SBK.SJ.EQUITY,0,0,0,0,0,0,0,0.129674579505393,0,0,0,0,0,0.0202742411193894,0,0,0,0,0.487832053403664,0,0,0,0.206070747819845,0.211569945217576,0
SLM.SJ.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.34E-05,0,0.224394882772022,0,0.315947957696588,0.188668987273177,0
VTBR.RM.EQUITY,0,0.366824272981443,0,0,0,0,0,0,0.033779885372038,0,0,0,0,0.0416762530628936,0,0,0,0,0,0,0.0184203927806143,0,0,0,0.161227120720582
