date,HDFCB.IS.EQUITY,SBER.RM.EQUITY,ITUB4.BS.EQUITY,HDFC.IS.EQUITY,KMB.IS.EQUITY,BBDC3.BS.EQUITY,BBDC4.BS.EQUITY,ICICIBC.IS.EQUITY,BAF.IS.EQUITY,QNBFB.TI.EQUITY,SBIN.IS.EQUITY,B3SA3.BS.EQUITY,SANB11.BS.EQUITY,BBAS3.BS.EQUITY,ITSA4.BS.EQUITY,AXSB.IS.EQUITY,ELEKTRA..MF.Equity,FSR.SJ.EQUITY,BJFIN.IS.EQUITY,BPAC11.BS.EQUITY,BBSE3.BS.EQUITY,GFNORTEO.MF.Equity,SBK.SJ.EQUITY,SLM.SJ.EQUITY,VTBR.RM.EQUITY
HDFCB.IS.EQUITY,0.488522271430198,0,0,0.0354942421141582,0,0,0,0.281506120294064,0.0284557754120939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBER.RM.EQUITY,0,0.499432335743439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092327779879274,0,0,0,0,0,0,0,0,0
ITUB4.BS.EQUITY,0,0,0.711119717723184,0,0,0,0.153701865715785,0,0,0,0,0,0.510997249865082,0,0,0,0,0,0,0.0187686160986013,0,0,0,0,0
HDFC.IS.EQUITY,0,0,0,0.713625842478558,0,0,0,0.254038950970374,0.177583261223405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KMB.IS.EQUITY,0,0,0,0,0.842137160293457,0,0,0.395732638141062,0.0765601813188076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBDC3.BS.EQUITY,0,0,0,0,0,0.412761024276081,0.249293010694234,0,0,0,0,0,0.255979842326192,0.18995710211072,0,0,0,0,0,0,0,0,0,0,0
BBDC4.BS.EQUITY,0,0,0,0,0,0.251861553660649,0.618944530130599,0,0,0,0,0,0.412002912777148,0,0,0,0,0,0,0.00170101539815851,0,0,0,0,0
ICICIBC.IS.EQUITY,0.0880708086876955,0,0,0,0,0,0,0.549138067370661,0.104262745444862,0,0,0,0,0,0,0.420163751087363,0,0,0,0,0,0,0,0,0
BAF.IS.EQUITY,0,0,0,0,0,0,0,0,0.327856385820651,0,0,0,0,0,0,0,0,0,0.661497434450545,0,0,0,0,0,0
QNBFB.TI.EQUITY,0,0,0,0,0,0,0,0,0,0.658160802725364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBIN.IS.EQUITY,0,0,0,0,0,0,0,0.0813780850951969,0.0733944406393698,0,0.845164931297526,0,0,0,0,0.112337872732055,0,0,0,0,0,0,0,0,0
B3SA3.BS.EQUITY,0,0,0,-0.0108851681624879,0,0,0,0,0,0,0,0.623927275425958,0,0.284434606783162,0,0,0,0,0,0.103441169666029,0,0,0,0,0
SANB11.BS.EQUITY,0,0,0.12692950106529,0,0,0,0.557131329916837,0,0,0,0,0,0.679618220092785,0.102975436356675,0,0,0,0,0,0,0,0,0,0,0
BBAS3.BS.EQUITY,0,0,0,0,0,0.12002350259359,0,0,0,0,0,0,0.23585925066593,0.714536854944733,0,0,0,0,0,0,0,0,0,0,0
ITSA4.BS.EQUITY,0,0,0.561692321356619,0,0,0,0,0,0,0,0,0,0.0190219144126722,0,0.450695057322337,0,0,0,0,0.120132049727816,0,0,0,0,0
AXSB.IS.EQUITY,0,0,0,0,0,0,0,0.438273419777978,0.209949650470496,0,0,0,0,0,0,0.275163444998339,0,0,0,0,0,0,0,0,0
ELEKTRA..MF.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00832280894655045,0.405361114739322,0,0,0,0,0,0,0,0
FSR.SJ.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535845845571857,0,0,0,0,0.415244036541236,0,0
BJFIN.IS.EQUITY,0,0,0,0,0,0,0,0,0.467718706225366,0,0,0,0,0,0,0.1818745939692,0,0,0.362252642279457,0,0,0,0,0,0
BPAC11.BS.EQUITY,0,0,0,0,0,0,0,0,0.10007494182128,0,0,0,0.130932680140318,0.354697381786091,0,0,0,0,0.0226116192079896,0.320754972236808,0,0,0,0,0
BBSE3.BS.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169482925165887,0,0,0,0,0,0.0703917441180592,0.445295567616448,0,0,0,0
GFNORTEO.MF.Equity,0,0,0.131472204728968,0,0,0,0,0,0,0,0,0,0.103730520624795,0,0,0,0,0.0461078479542853,0,0,0,0.631716434533425,0,0.103571579515932,0
SBK.SJ.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423774196193502,0,0,0,0,0.266812976155328,0,0
SLM.SJ.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488958116228023,0.249122717980811,0.38829083667347,0
VTBR.RM.EQUITY,0,0.0605514171787051,0,0,0,0,0,0,0,0,0,0,0,0.0370567993901887,0,0.0261691792681051,0,0,0,0,0,0,0,0,0.324384350455482
