Assets,Lambda,InvLambda 5%,upHRP 5%
HDFCB IS,0.0421379626566301,0.039,0.051
SBER RM ,0.0782984006505551,0.021,0.018
ITUB4 BS ,0.0891782673391852,0.019,0.074
HDFC IS ,0.0255882933588881,0.065,0.023
KMB IS ,0.046172591337257,0.036,0.003
BBDC3 BS ,0.0299330307225995,0.055,0.074
BBDC4 BS ,0.0978020686347494,0.017,0.03
ICICIBC IS ,0.0763042203862469,0.022,0.072
QNBFB TI ,0.0295440499397601,0.056,0.012
SBIN IS ,0.0193261892227221,0.086,0.001
B3SA3 BS ,0.0544637828212949,0.03,0.044
SANB11 BS ,0.0417927415338969,0.04,0.053
BBAS3 BS ,0.0566637470617903,0.029,0.107
BAF IS ,0.0523346837614529,0.032,0.012
ITSA4 BS ,0.0935877508192643,0.018,0.024
AXSB IS ,0.0401181363514158,0.041,0.056
ELEKTRA MF ,0.0510432218562748,0.032,0.073
FSR SJ ,0.0653408991236354,0.025,0.035
SBK SJ ,0.0266659262022148,0.062,0.016
BBSE3 BS ,0.05152331040147,0.032,0.016
BJFIN IS ,0.0443313134984924,0.037,0.004
GFNORTEO MF ,0.0320534084142045,0.052,0.041
BPAC11 BS ,0.0224266040681797,0.074,0.034
SLM SJ ,0.0368558624111372,0.045,0.087
VTBR RM ,0.0447935800371974,0.037,0.043
